delivery_rate,rss_median,link,channel
0.9612818835840419,-70.0,0,149
0.9404157043879907,-67.5,0,153
0.9401451027811366,-68.0,0,157
0.9487079600051941,-71.0,0,161
,,0,165
0.9306968955300786,-71.0,0,36
0.8904942965779468,-74.5,0,40
0.5428067078552515,-77.0,0,44
0.8826315115832587,-74.0,0,48
0.9443866943866944,-71.5,0,52
0.7424486378566368,-71.0,0,56
0.9607995846313603,-72.5,0,60
,,0,64
,,1,149
,,1,153
,,1,157
,,1,161
,,1,165
,,1,36
,,1,40
,,1,44
,,1,48
,,1,52
0.1946190595926578,-78.0,1,56
,,1,60
,,1,64
,,10,149
,,10,153
,,10,157
,,10,161
,,10,165
,,10,36
,,10,40
0.1445676833879506,-78.0,10,44
,,10,48
,,10,52
0.032181018227529855,-79.0,10,56
,,10,60
,,10,64
,,11,149
,,11,153
,,11,157
,,11,161
,,11,165
,,11,36
,,11,40
0.6668780116662439,-76.0,11,44
,,11,48
,,11,52
0.9580226456779896,-66.0,11,56
,,11,60
,,11,64
,,12,149
,,12,153
,,12,157
,,12,161
,,12,165
,,12,36
,,12,40
0.9565717572620075,-71.5,12,44
,,12,48
,,12,52
0.7576119402985074,-73.0,12,56
,,12,60
,,12,64
0.9619269619269619,-69.0,13,149
0.9405881176235247,-70.0,13,153
0.9402446360537398,-70.0,13,157
0.9613695090439276,-68.0,13,161
0.9616858237547893,-63.5,13,165
0.9456704090850432,-70.0,13,36
0.8291661378347506,-76.0,13,40
0.961108220603538,-73.0,13,44
0.9589308996088657,-69.0,13,48
0.9454994797086368,-68.0,13,52
0.9598544887618553,-70.0,13,56
0.9479491173416407,-69.0,13,60
0.9275568181818182,-73.0,13,64
0.792815583101442,-70.5,14,149
0.9398,-70.0,14,153
0.9011873616421815,-71.5,14,157
0.6913784333672431,-72.0,14,161
0.0008958967926894822,-82.0,14,165
0.9164730183320423,-74.0,14,36
0.14697732997481108,-80.0,14,40
0.007647385984427141,-83.0,14,44
0.6534828063987907,-76.5,14,48
0.8827319587628866,-72.5,14,52
0.8289273434417451,-71.0,14,56
0.6827916351725876,-75.5,14,60
0.7455696202531645,-75.5,14,64
,,15,149
,,15,153
,,15,157
,,15,161
,,15,165
,,15,36
,,15,40
,,15,44
,,15,48
,,15,52
0.5324429885347108,-76.0,15,56
,,15,60
,,15,64
,,16,149
,,16,153
,,16,157
,,16,161
,,16,165
,,16,36
,,16,40
,,16,44
,,16,48
,,16,52
,,16,56
,,16,60
,,16,64
,,17,149
,,17,153
,,17,157
,,17,161
,,17,165
,,17,36
,,17,40
0.9332725140101655,-69.0,17,44
,,17,48
,,17,52
0.9536976653188992,-70.5,17,56
,,17,60
,,17,64
,,18,149
,,18,153
,,18,157
,,18,161
,,18,165
,,18,36
,,18,40
0.9599891862665585,-62.5,18,44
,,18,48
,,18,52
0.9590039895446416,-57.0,18,56
,,18,60
,,18,64
,,19,149
,,19,153
,,19,157
,,19,161
,,19,165
0.35413514876449825,-81.0,19,36
,,19,40
0.917534477905995,-73.5,19,44
,,19,48
0.8367346938775511,-72.5,19,52
0.7582768248903071,-75.0,19,56
,,19,60
,,19,64
,,2,149
,,2,153
,,2,157
,,2,161
,,2,165
,,2,36
,,2,40
,,2,44
,,2,48
,,2,52
0.00248790601243953,-84.0,2,56
,,2,60
,,2,64
0.792815583101442,-70.5,20,149
0.9398,-70.0,20,153
0.9011873616421815,-71.5,20,157
0.6913784333672431,-72.0,20,161
0.0008958967926894822,-82.0,20,165
0.9164730183320423,-74.0,20,36
0.14697732997481108,-80.0,20,40
0.007647385984427141,-83.0,20,44
0.6534828063987907,-76.5,20,48
0.8827319587628866,-72.5,20,52
0.9599429608504019,-72.0,20,56
0.6827916351725876,-75.5,20,60
0.7455696202531645,-75.5,20,64
0.6498800959232613,-66.0,21,149
0.9040930979133226,-62.0,21,153
0.2178060413354531,-75.5,21,157
0.2741001761892776,-76.0,21,161
0.757002271006813,-73.0,21,165
0.42754543290215064,-79.0,21,36
0.8532274590163934,-73.5,21,40
0.3293892512533017,-73.0,21,44
0.6158350083020186,-73.0,21,48
0.27186301217546005,-74.5,21,52
0.43588891000063335,-73.0,21,56
0.8285787386465396,-74.0,21,60
0.07972837022132796,-78.0,21,64
,,22,149
,,22,153
,,22,157
,,22,161
,,22,165
,,22,36
,,22,40
,,22,44
,,22,48
,,22,52
0.9585669355941474,-60.0,22,56
,,22,60
,,22,64
,,23,149
,,23,153
,,23,157
,,23,161
,,23,165
,,23,36
,,23,40
,,23,44
,,23,48
,,23,52
0.7901953175527099,-73.0,23,56
,,23,60
,,23,64
,,24,149
,,24,153
,,24,157
,,24,161
,,24,165
,,24,36
,,24,40
0.06423632935260842,-80.0,24,44
,,24,48
,,24,52
0.012083071113908118,-80.5,24,56
,,24,60
,,24,64
,,25,149
,,25,153
,,25,157
,,25,161
,,25,165
0.44591029023746703,-79.0,25,36
,,25,40
0.9469038384378762,-72.5,25,44
,,25,48
,,25,52
0.7456751871933901,-74.5,25,56
,,25,60
,,25,64
,,26,149
,,26,153
,,26,157
,,26,161
,,26,165
0.5250536412974883,-79.0,26,36
,,26,40
0.34934003771213074,-76.0,26,44
0.028907922912205567,-79.0,26,48
0.04676304211187932,-77.0,26,52
0.21080866282535268,-76.0,26,56
,,26,60
,,26,64
0.6498800959232613,-66.0,27,149
0.9040930979133226,-62.0,27,153
0.2178060413354531,-75.5,27,157
0.2741001761892776,-76.0,27,161
0.757002271006813,-73.0,27,165
0.6629298400302305,-77.0,27,36
0.8532274590163934,-73.5,27,40
0.23271310032687956,-78.0,27,44
0.8950467170101114,-73.0,27,48
0.5705265816390959,-75.0,27,52
0.4330221997981836,-79.0,27,56
0.8285787386465396,-74.0,27,60
0.07972837022132796,-78.0,27,64
0.0012970168612191958,-82.5,28,149
0.01701244813278008,-78.5,28,153
0.11647387315516554,-79.0,28,157
0.15284226377211696,-78.5,28,161
0.6668349318525997,-76.5,28,165
0.32426771287029954,-77.0,28,36
0.16200948249773026,-79.0,28,40
0.09932949623212485,-81.0,28,44
,,28,48
,,28,52
0.44482465845061364,-78.0,28,56
0.6554590102002267,-76.0,28,60
0.17402269861286254,-79.5,28,64
,,29,149
,,29,153
,,29,157
,,29,161
,,29,165
,,29,36
,,29,40
,,29,44
,,29,48
,,29,52
0.9580779944289693,-64.0,29,56
,,29,60
,,29,64
,,3,149
,,3,153
,,3,157
,,3,161
,,3,165
,,3,36
,,3,40
0.8437101301352385,-77.0,3,44
,,3,48
,,3,52
0.9289688187346358,-74.0,3,56
,,3,60
,,3,64
,,30,149
,,30,153
,,30,157
,,30,161
,,30,165
,,30,36
,,30,40
0.021121039805036556,-82.0,30,44
,,30,48
,,30,52
0.59375,-77.0,30,56
,,30,60
,,30,64
,,31,149
,,31,153
,,31,157
,,31,161
,,31,165
,,31,36
,,31,40
0.1321608040201005,-80.0,31,44
,,31,48
,,31,52
0.001661631419939577,-83.0,31,56
,,31,60
,,31,64
,,32,149
,,32,153
,,32,157
,,32,161
,,32,165
0.09718380688961528,-81.0,32,36
,,32,40
0.10981425702811246,-80.0,32,44
,,32,48
,,32,52
1.0,-84.0,32,56
,,32,60
,,32,64
,,33,149
,,33,153
,,33,157
,,33,161
,,33,165
0.47993963023519054,-78.5,33,36
0.020134228187919462,-81.0,33,40
0.13544415127528583,-81.5,33,44
,,33,48
,,33,52
0.00148864905098623,-81.0,33,56
,,33,60
,,33,64
0.0012970168612191958,-82.5,34,149
0.01701244813278008,-78.5,34,153
0.11647387315516554,-79.0,34,157
0.15284226377211696,-78.5,34,161
0.6668349318525997,-76.5,34,165
0.6529270451384499,-77.5,34,36
0.19806459721000377,-79.5,34,40
0.2343238478972551,-79.0,34,44
,,34,48
,,34,52
0.7186436404890962,-76.0,34,56
0.6554590102002267,-76.0,34,60
0.17402269861286254,-79.5,34,64
0.6960195268494179,-65.0,35,149
0.9403853873946206,-64.0,35,153
0.686529955770004,-67.0,35,157
0.6529819226220646,-66.0,35,161
0.9612473903966597,-63.0,35,165
0.8187961165048544,-71.0,35,36
0.5803593556381661,-67.0,35,40
0.7535692959122741,-73.0,35,44
0.8405333022822543,-67.0,35,48
0.4721141374837873,-64.0,35,52
0.5024685519720041,-68.0,35,56
0.7513685132472082,-65.5,35,60
0.9612152553329024,-68.0,35,64
,,36,149
,,36,153
,,36,157
,,36,161
,,36,165
,,36,36
,,36,40
0.9462555066079296,-69.0,36,44
,,36,48
,,36,52
,,36,56
,,36,60
,,36,64
,,37,149
,,37,153
,,37,157
,,37,161
,,37,165
,,37,36
,,37,40
,,37,44
,,37,48
,,37,52
,,37,56
,,37,60
,,37,64
,,38,149
,,38,153
,,38,157
,,38,161
,,38,165
,,38,36
,,38,40
,,38,44
,,38,48
,,38,52
,,38,56
,,38,60
,,38,64
,,39,149
0.9620141342756183,-60.0,39,153
,,39,157
,,39,161
,,39,165
0.8812077870480731,-63.0,39,36
,,39,40
,,39,44
,,39,48
0.9624840357598978,-60.0,39,52
,,39,56
,,39,60
,,39,64
,,4,149
,,4,153
,,4,157
,,4,161
,,4,165
,,4,36
,,4,40
0.9607533254313183,-70.0,4,44
,,4,48
,,4,52
0.9588646647470177,-68.0,4,56
,,4,60
,,4,64
,,40,149
0.08130593722425312,-78.0,40,153
,,40,157
,,40,161
,,40,165
0.833375156838143,-76.5,40,36
,,40,40
,,40,44
,,40,48
0.013652756311179804,-82.5,40,52
,,40,56
,,40,60
0.2738048202291584,-78.5,40,64
,,41,149
0.9083815756355399,-73.0,41,153
0.5968837395125849,-73.5,41,157
0.8544215579990708,-72.0,41,161
,,41,165
0.9358074222668004,-68.0,41,36
0.7457200402819738,-77.5,41,40
,,41,44
,,41,48
0.9419833878681098,-71.0,41,52
0.7435270132517839,-74.0,41,56
,,41,60
0.39296303617315675,-76.0,41,64
,,42,149
,,42,153
,,42,157
,,42,161
,,42,165
,,42,36
,,42,40
0.2522982635342186,-80.0,42,44
,,42,48
,,42,52
,,42,56
,,42,60
,,42,64
,,43,149
,,43,153
,,43,157
,,43,161
,,43,165
,,43,36
,,43,40
,,43,44
,,43,48
,,43,52
,,43,56
,,43,60
,,43,64
,,44,149
,,44,153
,,44,157
,,44,161
,,44,165
,,44,36
,,44,40
,,44,44
,,44,48
,,44,52
,,44,56
,,44,60
,,44,64
,,45,149
0.9622261395114581,-62.0,45,153
,,45,157
,,45,161
,,45,165
0.820558882235529,-74.0,45,36
,,45,40
,,45,44
,,45,48
0.9612334801762115,-66.0,45,52
,,45,56
,,45,60
0.017639077340569877,-64.5,45,64
,,46,149
0.9613447494333921,-66.0,46,153
0.9627052105638829,-71.0,46,157
,,46,161
,,46,165
0.92196349905601,-75.0,46,36
,,46,40
,,46,44
,,46,48
0.9597542627883651,-62.0,46,52
,,46,56
,,46,60
0.9404093097913323,-67.0,46,64
,,47,149
,,47,153
,,47,157
0.012696417347580138,-81.0,47,161
0.10324232081911262,-79.5,47,165
,,47,36
,,47,40
,,47,44
,,47,48
,,47,52
,,47,56
,,47,60
,,47,64
,,48,149
,,48,153
,,48,157
,,48,161
,,48,165
,,48,36
,,48,40
,,48,44
,,48,48
,,48,52
,,48,56
,,48,60
,,48,64
,,49,149
,,49,153
,,49,157
,,49,161
,,49,165
,,49,36
,,49,40
,,49,44
,,49,48
,,49,52
,,49,56
,,49,60
,,49,64
,,5,149
,,5,153
,,5,157
,,5,161
,,5,165
0.9395855758880517,-63.0,5,36
,,5,40
0.9569177389041492,-63.0,5,44
,,5,48
,,5,52
0.9400884599919582,-67.0,5,56
,,5,60
,,5,64
,,50,149
,,50,153
,,50,157
,,50,161
,,50,165
,,50,36
,,50,40
,,50,44
,,50,48
,,50,52
,,50,56
,,50,60
,,50,64
,,51,149
0.021145374449339206,-79.5,51,153
,,51,157
,,51,161
,,51,165
0.5151090654392636,-76.5,51,36
,,51,40
,,51,44
,,51,48
0.9627391742195368,-65.5,51,52
,,51,56
,,51,60
0.21271872551580048,-81.0,51,64
,,52,149
0.9631261011829851,-60.0,52,153
0.9629862772252298,-59.0,52,157
,,52,161
,,52,165
0.9503697205163555,-63.0,52,36
,,52,40
,,52,44
,,52,48
0.949458028737081,-61.0,52,52
,,52,56
,,52,60
0.9393452500502109,-70.0,52,64
0.005176406484130228,-78.5,53,149
,,53,153
,,53,157
,,53,161
0.0045045045045045045,-81.0,53,165
0.621948150012585,-78.0,53,36
,,53,40
,,53,44
0.020099224017300597,-82.0,53,48
0.17122428499749123,-80.0,53,52
0.003003003003003003,-82.5,53,56
0.32982324182023315,-79.0,53,60
,,53,64
,,54,149
,,54,153
,,54,157
,,54,161
,,54,165
,,54,36
,,54,40
,,54,44
,,54,48
,,54,52
,,54,56
,,54,60
,,54,64
,,55,149
,,55,153
,,55,157
,,55,161
,,55,165
,,55,36
,,55,40
,,55,44
,,55,48
,,55,52
,,55,56
,,55,60
,,55,64
,,56,149
,,56,153
,,56,157
,,56,161
,,56,165
,,56,36
,,56,40
,,56,44
,,56,48
,,56,52
,,56,56
,,56,60
,,56,64
,,57,149
0.002683123155352831,-80.0,57,153
,,57,157
,,57,161
,,57,165
0.05306367641169403,-80.0,57,36
,,57,40
,,57,44
,,57,48
,,57,52
,,57,56
,,57,60
0.007411550832051461,-80.0,57,64
,,58,149
,,58,153
,,58,157
,,58,161
,,58,165
,,58,36
,,58,40
,,58,44
,,58,48
,,58,52
,,58,56
,,58,60
,,58,64
0.7319743299358248,-74.0,59,149
0.546243865609664,-74.0,59,153
0.03398640543782487,-77.5,59,157
0.9624921334172436,-67.0,59,161
0.9559415911379657,-72.0,59,165
,,59,36
0.4241852271297345,-79.0,59,40
,,59,44
0.2810695455686668,-78.0,59,48
0.1398337112622827,-79.5,59,52
0.100398406374502,-77.0,59,56
0.14327190103509216,-79.0,59,60
0.025357214731334274,-78.5,59,64
0.9612818835840419,-70.0,6,149
0.9404157043879907,-67.5,6,153
0.9401451027811366,-68.0,6,157
0.9487079600051941,-71.0,6,161
,,6,165
0.9306968955300786,-71.0,6,36
0.8904942965779468,-74.5,6,40
0.5428067078552515,-77.0,6,44
0.8826315115832587,-74.0,6,48
0.9443866943866944,-71.5,6,52
0.9601294498381877,-71.0,6,56
0.9607995846313603,-72.5,6,60
,,6,64
0.47778477029578353,-76.0,60,149
,,60,153
,,60,157
,,60,161
,,60,165
,,60,36
,,60,40
,,60,44
,,60,48
,,60,52
,,60,56
,,60,60
,,60,64
0.40533545689826794,-73.0,61,149
,,61,153
,,61,157
,,61,161
,,61,165
,,61,36
,,61,40
,,61,44
,,61,48
,,61,52
,,61,56
,,61,60
,,61,64
0.9404905508644954,-60.5,62,149
,,62,153
,,62,157
,,62,161
,,62,165
,,62,36
,,62,40
,,62,44
,,62,48
,,62,52
,,62,56
,,62,60
,,62,64
0.6664007976071785,-73.0,63,149
0.24874118831822759,-78.5,63,153
,,63,157
,,63,161
,,63,165
0.7131163904971052,-74.5,63,36
,,63,40
,,63,44
,,63,48
0.9262481089258698,-73.0,63,52
,,63,56
,,63,60
0.9368903045988453,-68.5,63,64
0.47065491183879093,-75.0,64,149
0.1231619957270328,-78.0,64,153
,,64,157
,,64,161
,,64,165
,,64,36
,,64,40
,,64,44
,,64,48
0.10687790770778323,-81.0,64,52
,,64,56
,,64,60
0.06852589641434263,-76.0,64,64
0.8900919048218557,-72.0,65,149
0.08488770460601447,-78.0,65,153
,,65,157
0.4734920035260043,-75.5,65,161
0.8053108482255222,-75.0,65,165
,,65,36
0.9585590124700843,-70.0,65,40
,,65,44
0.9626274065685164,-69.0,65,48
0.9472690661968286,-70.0,65,52
0.9403734189921702,-69.5,65,56
,,65,60
0.9063124250898922,-71.0,65,64
,,66,149
,,66,153
,,66,157
,,66,161
,,66,165
,,66,36
0.48120420516087925,-67.0,66,40
,,66,44
,,66,48
,,66,52
,,66,56
,,66,60
,,66,64
,,67,149
,,67,153
,,67,157
,,67,161
,,67,165
,,67,36
0.5195247313263467,-70.0,67,40
,,67,44
,,67,48
,,67,52
,,67,56
,,67,60
,,67,64
,,68,149
0.2033898305084746,-78.0,68,153
,,68,157
,,68,161
,,68,165
0.9250440917107584,-67.0,68,36
0.8637844611528822,-70.0,68,40
,,68,44
,,68,48
,,68,52
,,68,56
,,68,60
,,68,64
,,69,149
,,69,153
,,69,157
,,69,161
,,69,165
,,69,36
0.3976432242697756,-79.5,69,40
,,69,44
,,69,48
0.4099573614246301,-75.0,69,52
,,69,56
,,69,60
0.26108471892319873,-77.0,69,64
0.9619269619269619,-69.0,7,149
0.9405881176235247,-70.0,7,153
0.9402446360537398,-70.0,7,157
0.9613695090439276,-68.0,7,161
0.9616858237547893,-63.5,7,165
0.9456704090850432,-70.0,7,36
0.8291661378347506,-76.0,7,40
0.961108220603538,-73.0,7,44
0.9589308996088657,-69.0,7,48
0.9454994797086368,-68.0,7,52
0.655955973726256,-70.0,7,56
0.9479491173416407,-69.0,7,60
0.9275568181818182,-73.0,7,64
,,70,149
,,70,153
,,70,157
,,70,161
,,70,165
0.0012919896640826874,-87.0,70,36
1.0,-85.0,70,40
,,70,44
,,70,48
0.008257963035784506,-81.0,70,52
0.03897395108371446,-80.0,70,56
,,70,60
0.03411344704482348,-78.5,70,64
0.489490245437382,-78.0,71,149
0.8165114523030456,-74.5,71,153
0.46779661016949153,-76.5,71,157
0.9616207373851768,-72.0,71,161
0.8572503763171099,-74.5,71,165
0.9221089719390965,-71.5,71,36
0.9559819413092551,-63.0,71,40
0.949672873678913,-74.5,71,44
0.9584692597239649,-67.0,71,48
0.9408440090429541,-66.0,71,52
0.8941432528690146,-71.0,71,56
0.10486703462117411,-80.5,71,60
0.9376854599406528,-63.0,71,64
,,72,149
,,72,153
,,72,157
,,72,161
,,72,165
,,72,36
,,72,40
,,72,44
,,72,48
,,72,52
,,72,56
,,72,60
,,72,64
,,73,149
,,73,153
,,73,157
,,73,161
,,73,165
,,73,36
,,73,40
,,73,44
,,73,48
,,73,52
,,73,56
,,73,60
,,73,64
,,74,149
,,74,153
,,74,157
,,74,161
,,74,165
0.15959316926167755,-81.0,74,36
,,74,40
,,74,44
,,74,48
,,74,52
,,74,56
,,74,60
,,74,64
,,75,149
,,75,153
,,75,157
,,75,161
,,75,165
,,75,36
,,75,40
,,75,44
,,75,48
,,75,52
,,75,56
,,75,60
,,75,64
,,76,149
,,76,153
,,76,157
,,76,161
,,76,165
,,76,36
,,76,40
,,76,44
,,76,48
,,76,52
,,76,56
,,76,60
,,76,64
0.9275015733165513,-74.0,77,149
0.3582445141065831,-78.0,77,153
0.014093013891685121,-80.0,77,157
0.03775743707093822,-79.0,77,161
0.40233492342455435,-77.0,77,165
0.702076777847703,-78.0,77,36
0.6569774757770228,-77.0,77,40
0.0519889224572004,-82.0,77,44
0.01264367816091954,-80.0,77,48
0.6125753012048193,-77.0,77,52
0.001959503592423253,-78.0,77,56
0.0183757388846055,-77.0,77,60
,,77,64
,,8,149
,,8,153
,,8,157
,,8,161
,,8,165
,,8,36
,,8,40
,,8,44
,,8,48
,,8,52
,,8,56
,,8,60
,,8,64
,,9,149
,,9,153
,,9,157
,,9,161
,,9,165
,,9,36
,,9,40
,,9,44
,,9,48
,,9,52
,,9,56
,,9,60
,,9,64
